D, mkm;D1, mkm;D_L, mm;\sigma_{D_L}, mm
50;1500;53,3;0,4
100;3000;106,6;0,4
150;4500;160,0;0,4
200;5500;195,5;0,4
250;7000;248,8;0,4
300;8500;302,1;0,4
350;9500;337,7;0,5
400;11000;391,0;0,5
450;12500;444,3;0,5
500;14000;497,6;0,5
